aminerKey,dblpKey,title
1269368,2146044,Robust and Self-Repairing Formation Control for Swarms of Mobile Agents.
1250103,2146043,Design and Implementation of the CALO Query Manager.
1478542,2142979,An Average-Case Analysis of Branch-and-Bound with Applications: Summary of Results.
1478783,2142974,Realtime Generation of Customized 3D Animated Explanations for Knowledge-Based Learning Environments.
578830,2142975,UTTSExam: A University Examination Timetable Scheduler.
1063518,1723336,OLAP on sequence data.
1770338,1723337,Skeleton automata for FPGAs: reconfiguring without reconstructing.
248809,1723335,Extracting Schema from Semistructured Data.
1217243,1723330,Bridging the application and DBMS divide using static analysis and dynamic profiling.
1274380,3137456,Automatic Determination of Image-to-Database Correspondences.
427207,1723338,Combining Relational and Network Retrieval Methods.
102747,1723339,HYDRO: A Heterogeneous Distributed Database System.
179796,2141773,Using Knowledge Acquisition and Representation Tools to Support Scientific Communities.
578678,2141772,Pruning and Dynamic Scheduling of Cost-Sensitive Ensembles.
180118,2141771,Evolving Neural Networks to Focus Minimax Search.
1477387,2141777,Knowledge Compilation using Horn Approximations.
1477381,2141776,Behavioral Aggregation Within Complex Situations: A Case Study Involving Dynamic Equilibria.
1250102,2141774,CPM: Context-Aware Power Management in WLANs.
481756,1949079,Efficient Incremental Garbage Collection for Client-Server Object Database Systems.
481618,1949078,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions.
1688268,2242607,"Physical Design Refinement: The ""Merge-Reduce"" Approach."
169804,2242606,Matrix-Relation for Statistical Database Management.
1688331,2242605,ArHeX: An Approximate Retrieval System for Highly Heterogeneous XML Document Collections.
169808,2242604,Subsumption-Free Bottom-up Evaluation of Logic Programs with Partially Instantiated Data Structures.
479613,1949073,Bit-Sliced VLSI Algorithm for Search and Sort.
458602,2242602,The Many Faces of Query Monotonicity.
458539,2242601,Translating OSQL-Queries into Efficient Set Expressions.
1962387,2242600,PrivComp: a privacy-aware data service composition system.
1535384,2073638,Monotone Relabeling in Ordinal Classification.
884059,2888304,Using Multiple Segmentations to Discover Objects and their Extent in Image Collections.
915289,2073630,Boosting the Feature Space: Text Classification for Unstructured Data on the Web.
1688528,2073631,Word Cloud Model for Text Categorization.
1535478,2073634,Anonymizing Temporal Data.
1450863,2550468,Image search by concept map.
1250173,2147399,Fibring Neural Networks.
1478660,2147398,Algebraic Sematics for Cumulative Inference Operations.
1270042,2147392,Coordination and Multi-Tasking Using EMT.
1250651,2147396,Learning Partially Observable Action Models: Efficient Algorithms.
1477296,2147395,Verification of Multi-Level Rule-Based Expert Systems.
397180,2549889,The web retrieval task and its evaluation in the third NTCIR workshop.
1878994,2549888,Adaptive query suggestion for difficult queries.
1988827,2549885,Opportunity model for e-commerce recommendation: right product; right time.
309126,2549884,Bridging the lexical chasm: statistical approaches to answer-finding.
1074179,2549887,Bag-of-visual-words expansion using visual relatedness for video indexing.
1879101,2549881,A framework for manipulating and searching multiple retrieval types.
1074224,2549880,On multiword entity ranking in peer-to-peer search.
1074083,2549883,Learning to rank with SoftRank and Gaussian processes.
1988910,2549882,Is relevance hard work?: evaluating the effort of making relevant assessments.
1476359,2145227,"CADI - An Intelligent, Multimedia Tutor for Cardiac Auscultation."
1451155,2520339,Metric forensics: a multi-level approach for mining volatile graphs.
266725,2147025,Development of Outdoor Navigation for a Robotic Wheelchair System.
1270007,2147024,A Demonstration of ScriptEase Interruptible and Resumable Behaviors for CRPGs.
1477309,2147027,Incorporating Nonmonotonic Reasoning in Horn Clause Theories.
1477088,2147026,The Belief Calculus and Uncertain Reasoning.
1269926,2147021,Online Collective Entity Resolution.
1270009,2147020,A Deployed Semantically-Enabled Interdisciplinary Virtual Observatory.
1055797,2154254,Larger is better: seed selection in link-based anti-spamming algorithms.
1477119,2147028,Model-Based Diagnosis of Planning Failures.
283169,2143735,Combining Collaborative Filtering with Personal Agents for Better Recommendations.
1688549,2074366,Learning Spectral Embedding for Semi-supervised Clustering.
1478499,2143737,Constrained Intelligent Action: Planning Under the Influence of a Master Agent.
283325,2143736,eMediator: a Next Generation Electronic Commerce Server.
578656,2143731,The Yard Allocation Problem.
1269759,2143730,A Method for Large-Scale l1-Regularized Logistic Regression.
266695,2143732,Extending the Classification Paradigm to Temporal Domains.
1477203,2143739,Explaining Temporal Differences to Create Useful Concepts for Evaluating States.
