aminerKey,title
2193176,Containment and equivalence of well-designed SPARQL.
2146048,A Deep Choice Model.
2146049,Emotion Classification in Microblog Texts Using Class Sequential Rules.
2146045,Being Suspicious: Critiquing Problem Specifications.
2146046,Existential Rule Languages with Finite Chase: Complexity and Expressiveness.
2146047,Multi-Objective Reinforcement Learning with Continuous Pareto Frontier Approximation.
2146040,Learning When to Reject an Importance Sample.
2146041,Filtering Decomposable Global Cost Functions.
2146042,Don't Be Strict in Local Search!
2142978,Robust Bidirectional Search via Heuristic Improvement.
2142976,On the Structure of Synergies in Cooperative Games.
2142977,A Set-Theoretic Framework for the Processing of Uncertain Knowledge.
2142970,SNePS Considered as a Fully Intensional Propositional Semantic Network.
2142971,Data Dependencies on Inequalities.
2142972,Genotypic versus Behavioural Diversity for Teams of Programs under the 4-v-3 Keepaway Soccer Task.
2142973,Enforcing Meter in Finite-Length Markov Sequences.
1723334,Scalable Pattern Sharing on Event Streams.
1723332,Top-k Relevant Semantic Place Retrieval on Spatial RDF Data.
1723333,Emma in Action: Declarative Dataflows for Scalable Data Analysis.
1723331,Complete yet practical search for minimal query reformulations under constraints.
2141779,The QBKG System: Generating Explanations From a Non-Discrete Knowledge Representation.
2141778,A Rule-Based Approach to Information Retrieval: Some Results and Comments.
2141770,SmartShift: Expanded Load Shifting Incentive Mechanism for Risk-Averse Consumers.
2141775,I'm Doing as Well as I Can: Modeling People as Rational Finite Automata.
2520036,Predictive Data Mining with Finite Mixtures.
2888302,Quasi-Dense Wide Baseline Matching Using Match Propagation.
2888303,Integration of transitory image sequences.
2888300,Recognizing linked events: Searching the space of feasible explanations.
2888301,Task-specific utility in a general Bayes net vision system.
2073633,Online Spectral Learning on a Graph with Bandit Feedback.
2888308,Incremental Activity Modeling and Recognition in Streaming Videos.
2147393,Bayesian Learning of Other Agents' Finite Controllers for Interactive POMDPs.
2147391,A Neat Theory of Marker Passing.
2147390,Bayesian Inference without Point Estimates.
2147397,Tiebreaking Strategies for A* Search: How to Explore the Final Frontier.
2147394,Selecting the Appropriate Consistency Algorithm for CSPs Using Machine Learning Classifiers.
2549886,Contextual Bandits in a Collaborative Environment.
2147023,Goal Recognition with Markov Logic Networks for Player-Adaptive Games.
2147022,Using Correlated Strategies for Computing Stackelberg Equilibria in Extensive-Form Games.
2147029,Bounded Optimal Exploration in MDP.
2074361,The Pairwise Gaussian Random Field for High-Dimensional Data Imputation.
2074368,Towards Scalable and Accurate Online Feature Selection for Big Data.
2548671,Learning to bridge colloquial and formal language applied to linking and search of E-Commerce data.
3130776,Transductive Optimization of Top k Precision.
3130777,Embedding Semantic Relations into Word Representations.
2143105,Unifying Data-Directed and Goal-Directed Control: An Example and Experiments.
2140554,A Model and Representation for Type Information and Its Use in Reasoning with Defaults.
2140555,An Efficient ATMS for Equivalence Relations.
2140551,Minimizing User Involvement for Learning Human Mobility Patterns from Location Traces.
2518363,Discovering Knowledge in Commercial Databases Using Modern Heuristic Techniques.
2518360,Simultaneous Modeling of Multiple Diseases for Mortality Prediction in Acute Hospital Care.
2518367,MineSet: An Integrated System for Data Mining.
2551171,Summarizing Contrastive Themes via Hierarchical Non-Parametric Processes.
2551178,"Statistical Significance, Power, and Sample Sizes: A Systematic Review of SIGIR and TOIS, 2006-2015."
2550223,Monolingual and Cross-Lingual Information Retrieval Models Based on (Bilingual) Word Embeddings.
2550220,Choices and constraints: research goals and approaches in information retrieval (part 2).
1435630,Selecting Stars: The k Most Representative Skyline Operator.
1435637,DBProxy: A dynamic data cache for Web applications.
2693911,Structural Analysis in Multi-Relational Social Networks.
2693910,Prior-Free Rare Category Detection.
2693912,Vocal Competence Based Karaoke Recommendation: A Maximum-Margin Joint Model.
2693915,Microscopic Social Influence.
2693914,Vertex Clustering of Augmented Graph Streams.
2693917,Positive Unlabeled Learning for Data Stream Classification.
2693916,A Probabilistic Hierarchical Approach for Pattern Discovery in Collaborative Filtering Data.
2693919,A Top-Down Method for Mining Most-Specific Frequent Patterns in Biological Sequences.
2693918,Mining Relationships Between Interacting Episodes.
2146810,A Logic for Hypothetical Reasoning.
2146817,Stability Via Convexity and LP Duality in OCF Games.
2071284,Check-in Location Prediction Using Wavelets and Conditional Random Fields.
2908926,Enhanced Word Embeddings from a Hierarchical Neural Language Model.
2908920,Time-aware Multi-Viewpoint Summarization of Multilingual Social Text Streams.
2551798,Learning Maximal Marginal Relevance Model via Directly Optimizing Diversity Evaluation Measures.
1720527,"Database Design: Methodologies, Tools, and Environments (Panel)."
1720524,SparkR: Scaling R Programs with Spark.
2242608,Query Workload-based RDF Graph Fragmentation and Allocation.
1949071,The Complexity of Fully Materialized Coalesced Cubes.
2551229,How Random Decisions Affect Selective Distributed Search.
2549412,iGlasses: A Novel Recommendation System for Best-fit Glasses.
1434277,"Using SSDs to scale up Google Fusion Tables, a database-in-the-cloud."
2549410,Automatic query refinement using lexical affinities with maximal information gain.
2887569,Fiber Tract Clustering on Manifolds With Dual Rooted-Graphs.
2887568,Shape matching through particle dynamics warping.
2242310,Understanding Customer Attrition at an Individual Level: a New Model in Grocery Retail Context.
2887564,MAP Visibility Estimation for Large-Scale Dynamic 3D Reconstruction.
2891076,Optimizing Binary MRFs via Extended Roof Duality.
2891077,"Gesture, Speech, and Gaze Cues for Discourse Segmentation."
2891075,Asymmetric Sparse Kernel Approximations for Large-Scale Visual Search.
2866379,Split-Merge Augmented Gibbs Sampling for Hierarchical Dirichlet Processes.
2894755,A Linear Programming Approach for Multiple Object Tracking.
2894756,Object-to-object color transfer: Optimal flows and SMSP transformations.
2889177,Online Spatial-temporal Data Fusion for Robust Adaptive Tracking.
2889171,Efficient Kernels for identifying unbounded-order spatial features.
2911810,Classification with Active Learning and Meta-Paths in Heterogeneous Information Networks.
1700933,Copula PC Algorithm for Causal Discovery from Mixed Data.
1700930,Semi-supervised Subspace Co-Projection for Multi-class Heterogeneous Domain Adaptation.
1700934,Link Prediction in Multi-modal Social Networks.
1700939,Flexible Shift-Invariant Locality and Globality Preserving Projections.
1700938,Evasion Attacks against Machine Learning at Test Time.
2693987,Shared State for Client-Server Mining.
2693984,Scaling Lifted Probabilistic Inference and Learning Via Graph Databases.
2693985,Probabilistic Models over Ordered Partitions with Applications in Document Ranking and Collaborative Filtering.
2693982,GenIc: A Single-Pass Generalized Incremental Algorithm for Clustering.
2146885,Pathology on Game Trees: A Summary of Results.
2693980,Parallel Computation of RBF Kernels for Support Vector Classifiers.
2895407,Efficient Grouping under Perspective Skew.
2890498,On Solving 2D and 3D Puzzles Using Curve Matching.
2895408,FaceNet: A unified embedding for face recognition and clustering.
2152327,Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata.
2892751,Fast 2D border ownership assignment.
2243406,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction.
2243407,Spatial Data Server for Mobile Environment.
2910361,Separating-Plane Factorization Models: Scalable Recommendation from One-Class Implicit Feedback.
2910368,A Latent Semantic Model with Convolutional-Pooling Structure for Information Retrieval.
2910369,Location-Based Influence Maximization in Social Networks.
2276521,Improving SVM Text Classification Performance through Threshold Adjustment.
2896278,Delineating trees in noisy 2D images and 3D image-stacks.
2896275,Modeling the structure of multivariate manifolds: Shape maps.
1431384,Broadcasting Dependent Data for Ordered Queries without Replication in a Multi-Channel Mobile Environment.
2896181,On Computing Exact Visual Hulls of Solids Bounded by Smooth Surfaces.
2910093,A Retrievability Analysis: Exploring the Relationship Between Retrieval Bias and Retrieval Performance.
2896186,Robust image filtering using joint static and dynamic guidance.
2896185,Learning Gaussian Conditional Random Fields for Low-Level Vision.
2896184,Relief Mosaics by Joint View Triangulation.
2519554,Structured Doubly Stochastic Matrix for Graph Based Clustering: Structured Doubly Stochastic Matrix.
1852963,Mining the Web for Intelligent Problem Solving for Programmers.
2193257,Counting Answers to Existential Positive Queries: A Complexity Classification.
2193253,The (Almost) Complete Guide to Tree Pattern Containment.
2193258,Weaker forms of monotonicity for declarative networking: a more fine-grained answer to the calm-conjecture.
2909678,DePP: A System for Detecting Pages to Protect in Wikipedia.
2909671,Empowering Truth Discovery with Multi-Truth Prediction.
2907948,TweetMogaz v2: Identifying News Stories in Social Media.
2907949,Log-Bilinear Document Language Model for Ad-hoc Information Retrieval.
2907941,Supervised Feature Selection by Preserving Class Correlation.
2911945,Practical Aspects of Sensitivity in Online Experimentation with User Engagement Metrics.
2911941,Aggregation of Crowdsourced Ordinal Assessments and Integration with Learning to Rank: A Latent Trait Model.
2911940,TensorDB: In-Database Tensor Manipulation with Tensor-Relational Query Plans.
2893001,Planar Catadioptric Stereo: Geometry and Calibration.
2897584,Optimal Rigid Motion Estimation and Performance Evaluation with Bootstrap.
2893004,Labeling of curvilinear structure across scales by token grouping.
2893007,Properties of energy edge detectors.
2893354,Spherical Harmonics vs. Haar Wavelets: Basis for Recovering Illumination from Cast Shadows.
1700115,Automatically Mapped Transfer between Reinforcement Learning Tasks via Three-Way Restricted Boltzmann Machines.
1700114,ViperCharts: Visual Performance Evaluation Platform.
1700119,Topy: Real-Time Story Tracking via Social Tags.
2867762,Computing Hierarchical Summary of the Data Streams.
2155770,Extending an OO Method de Develop Web Applications.
