Covariate-Correlated Lasso for Feature Selection.,2014,ECML/PKDD (1)
Efficient Rank-one Residue Approximation Method for Graph Regularized Non-negative Matrix Factorization.,2013,ECML/PKDD (2)
A Bayesian Network Model for Interesting Itemsets.,2016,ECML/PKDD (2)
Regret Analysis for Performance Metrics in Multi-Label Classification: The Case of Hamming and Subset Zero-One Loss.,2010,ECML/PKDD (1)
Versatile Decision Trees for Learning Over Multiple Contexts.,2015,ECML/PKDD (1)
Estimating Sales Opportunity Using Similarity-Based Methods.,2008,ECML/PKDD (2)
Discovery of Approximate Medical Knowledge Based on Rough Set Model.,1998,PKDD
Expectation Propagation for Bayesian Multi-task Feature Selection.,2010,ECML/PKDD (1)
From Knowledge-Based to Skill-Based Systems: Sailing as a Machine Learning Challenge.,2003,PKDD
Metric Learning: A Support Vector Approach.,2008,ECML/PKDD (2)
Flexible Grid-Based Clustering.,2007,PKDD
IKNN: Informative K-Nearest Neighbor Pattern Classification.,2007,PKDD
Location Affiliation Networks: Bonding Social and Spatial Information.,2012,ECML/PKDD (2)
An Imbalanced Data Rule Learner.,2005,PKDD
Position Preserving Multi-Output Prediction.,2013,ECML/PKDD (2)
A Random Method for Quantifying Changing Distributions in Data Streams.,2005,PKDD
Dimension Reduction in Dissimilarity Spaces for Time Series Classification.,2015,AALTD@PKDD/ECML (Revised Selected Papers)
A Joint Topic and Perspective Model for Ideological Discourse.,2008,ECML/PKDD (2)
Data Structures for Minimization of Total Within-Group Distance for Spatio-temporal Clustering.,2001,PKDD
Learning from Labeled and Unlabeled Documents: A Comparative Study on Semi-Supervised Text Classification.,2000,PKDD
Sparse Kernel SVMs via Cutting-Plane Training.,2009,ECML/PKDD (1)
On Discovering the Correlated Relationship between Static and Dynamic Data in Clinical Gait Analysis.,2013,ECML/PKDD (3)
Learning from Demonstrations: Is It Worth Estimating a Reward Function?,2013,ECML/PKDD (1)
Peculiarity Oriented Multi-database Mining.,1999,PKDD
Topy: Real-Time Story Tracking via Social Tags.,2016,ECML/PKDD (3)
Realistic Synthetic Data for Testing Association Rule Mining Algorithms for Market Basket Databases.,2007,PKDD
Overcoming Fragmentation in Decision Trees Through Attribute Value Grouping.,1998,PKDD
Empirical Evaluation of Feature Subset Selection Based on a Real-World Data Set.,2000,PKDD
A Tag Recommendation System Based on Contents.,2009,DC@PKDD/ECML
A Method for Multi-relational Classification Using Single and Multi-feature Aggregation Functions.,2007,PKDD
Privacy Preserving Blocking and Meta-Blocking.,2015,ECML/PKDD (3)
Unsupervised Learning: Self-aggregation in Scaled Principal Component Space.,2002,PKDD
Ranking Researchers Through Collaboration Pattern Analysis.,2016,ECML/PKDD (3)
Discovering Audience Groups and Group-Specific Influencers.,2015,ECML/PKDD (2)
Data Mining in the Telecommunications Industry (Abstract).,1997,PKDD
Found in Translation.,2009,ECML/PKDD (2)
Neutralized Empirical Risk Minimization with Generalization Neutrality Bound.,2014,ECML/PKDD (1)
Incremental Nonlinear PCA for Classification.,2004,PKDD
Weighted Rank Correlation: A Flexible Approach Based on Fuzzy Order Relations.,2015,ECML/PKDD (2)
StreamKrimp: Detecting Change in Data Streams.,2008,ECML/PKDD (1)
Discovering Fuzzy Classification Rules with Genetic Programming and Co-evolution.,2001,PKDD
Anomaly Detection with Score Functions Based on the Reconstruction Error of the Kernel PCA.,2014,ECML/PKDD (1)
Engine Misfire Detection with Pervasive Mobile Audio.,2016,ECML/PKDD (3)
A Generic Approach to Topic Models.,2009,ECML/PKDD (1)
A Boosting Approach to Multiview Classification with Cooperation.,2011,ECML/PKDD (2)
Data Streaming with Affinity Propagation.,2008,ECML/PKDD (2)
Collaborative Expert Recommendation for Community-Based Question Answering.,2016,ECML/PKDD (1)
Discovery of Interesting Regions in Spatial Data Sets Using Supervised Clustering.,2006,PKDD
Fast Support Vector Machines for Structural Kernels.,2011,ECML/PKDD (3)
Hypernode Graphs for Spectral Learning on Binary Relations over Sets.,2014,ECML/PKDD (2)
An Alternating Direction Method for Dual MAP LP Relaxation.,2011,ECML/PKDD (2)
Learning to Detect Adverse Traffic Events from Noisily Labeled Data.,2007,PKDD
Image Classification for Age-related Macular Degeneration Screening Using Hierarchical Image Decompositions and Graph Mining.,2011,ECML/PKDD (2)
Support Vector Random Fields for Spatial Classification.,2005,PKDD
Knowledge Intensive Learning: Combining Qualitative Constraints with Causal Independence for Parameter Learning in Probabilistic Models.,2013,ECML/PKDD (2)
